,DEPTH,GR,Rt,RHOB,NPHI,Porosity_Density,Vshale,Porosity_Gaymard,Effective_Porosity,Formation_Factor,Rt_Ashale,Ro,Ish,Sw
36,2110.5,42.297,59.74,2528.965,0.08334,0.1058684210526315,0.24454216867469877,0.09527244663641547,0.07197431592100192,148.37565971089091,293.36720190275787,148.37565971089091,1.977192232704354,0.6985295642818062
37,2110.625,40.889,56.823,2529.407,0.08007999999999998,0.10560994152046775,0.2275783132530121,0.09371837105913818,0.07239010225267961,146.76062035640555,208.15346570839216,146.76062035640555,1.4183196091900891,0.8319915028895963
38,2110.75,39.141999999999996,54.968,2524.2870000000003,0.07579,0.10860409356725131,0.20653012048192765,0.09364553710552435,0.07430491304452558,139.65828109285215,160.22169019587142,139.65828109285215,1.1472408864129413,0.9302567575213803
39,2110.875,39.104,54.077,2519.067,0.0745,0.11165672514619883,0.2060722891566265,0.0949143673802175,0.07535514642032304,135.9832622503342,153.81999631831718,135.9832622503342,1.131168599523278,0.9371901497056915
40,2111.0,40.495,54.051,2519.611,0.07618,0.11133859649122814,0.22283132530120478,0.09539306963463466,0.07413650550339891,140.2616645495784,174.8387286444006,140.2616645495784,1.2465182785749715,0.8904966475487818
41,2111.125,41.628,54.755,2521.68,0.07908,0.11012865497076033,0.23648192771084336,0.09586961730827127,0.07319818539831044,143.69756258761808,203.40289630466006,143.69756258761808,1.415493016317777,0.832865511219812
42,2111.25,41.382,56.005,2519.511,0.08067,0.11139707602339183,0.2335180722891566,0.09725471054545723,0.07454397801784216,138.80852086595104,211.12251643856143,138.80852086595104,1.520962222790666,0.8019516700819956
43,2111.375,40.457,57.54600000000001,2512.66,0.08141,0.11540350877192991,0.2223734939759036,0.09986380209283267,0.07765673949973131,128.42796785502557,205.46738121599148,128.42796785502557,1.599864769704454,0.7808862036971234
44,2111.5,39.715,59.086999999999996,2502.978,0.08208,0.12106549707602335,0.2134337349397591,0.10342625629467746,0.08135160412286768,117.57212567394387,203.3341405665208,117.57212567394387,1.7294417312009471,0.7495253923191474
45,2111.625,39.328,60.402,2492.672,0.08271,0.1270923976608187,0.20877108433734942,0.10722271597748231,0.08483771329726769,108.5627878278264,206.60743827042654,108.5627878278264,1.9031147081271775,0.7127105309631312
46,2111.75,38.058,61.431000000000004,2487.742,0.08327999999999999,0.1299754385964911,0.1934698795180723,0.10915395787224169,0.08803595479377836,101.19192330395657,187.72021515140065,101.19192330395657,1.855090890876079,0.7223624488882996
47,2111.875,35.455999999999996,61.926,2487.22,0.08378000000000001,0.13028070175438608,0.1621204819277108,0.10952659414410569,0.0917700899175625,93.51209810680987,148.40178721871746,93.51209810680987,1.586979548349053,0.784216800576499
48,2112.0,32.31,61.762,2490.6710000000003,0.08312999999999998,0.12826257309941505,0.12421686746987955,0.10807840801492864,0.09465324673018267,88.17440154028023,114.40842146826013,88.17440154028023,1.297524218704173,0.8718977172266399
49,2112.125,30.983,61.117,2494.979,0.08177999999999999,0.12574327485380127,0.10822891566265061,0.10606446052038027,0.0945852189679155,88.29493276421695,102.40193143342937,88.29493276421695,1.1597713280657203,0.9249533004044084
50,2112.25,33.094,60.211000000000006,2500.797,0.08212,0.12234093567251461,0.13366265060240964,0.10418972823946311,0.09026345299743174,96.4999987575394,116.29922676512062,96.4999987575394,1.2051733498704769,0.9064468793616882
51,2112.375,37.816,59.099,2506.722,0.08618,0.11887602339181275,0.1905542168674699,0.10382317019204049,0.08403922730339818,110.53100116428281,167.10468901063985,110.53100116428281,1.5118354782860535,0.8044960760247307
